Estudo em anos;Renda em 2012;UF;Genero;Idade em 2012
5;1242,84;PR;M;45
1;816,1316;BA;M;48
16;1449,98;PR;F;36
1;497,136;PE;F;54
12;1657,12;SP;M;32
13;1035,7;RN;F;52
12;2071,4;RS;F;33
6;776,775;MG;M;54
11;103,57;MA;M;30
16;1553,55;PE;M;51
6;1657,12;RJ;M;36
13;2589,25;RS;M;39
16;1594,978;MG;F;51
1;103,57;MG;F;75
5;816,1316;SC;F;52
5;816,1316;PE;M;47
12;828,56;SE;M;40
9;1398,195;PR;F;21
16;2278,54;SP;F;50
12;816,1316;AP;M;25
16;9321,3;PE;M;46
12;2589,25;TO;M;38
9;310,71;MA;M;36
8;880,345;AP;F;39
8;1553,55;PR;M;43
12;5178,5;SP;M;63
12;2589,25;RS;F;60
12;816,1316;PE;M;57
16;1760,69;MT;M;36
16;7249,9;RS;M;57
5;258,925;MG;F;69
9;2071,4;MA;F;47
3;1553,55;SC;M;69
12;6214,2;RS;M;64
4;1035,7;SP;M;58
12;2796,39;MS;M;33
1;4142,8;PE;F;64
14;1315,339;AP;F;32
14;2448,3948;RJ;M;42
12;909,3446;SP;F;50
13;1864,26;PA;M;23
12;2061,043;PR;M;39
2;207,14;TO;F;50
11;1553,55;PA;M;40
7;1273,911;GO;M;32
16;8285,6;SP;M;37
5;816,1316;MG;F;51
9;2071,4;SC;M;61
5;1864,26;AP;M;45
5;816,1316;CE;F;53
10;2485,68;PR;M;52
1;1449,98;SE;M;46
8;5178,5;SP;M;62
16;16571,2;BA;M;63
6;932,13;BA;M;27
8;621,42;MA;M;32
10;1864,26;SP;M;28
6;1035,7;PI;M;35
4;2071,4;ES;M;30
12;4660,65;PA;M;43
12;2278,54;SP;M;27
1;207,14;CE;F;65
16;3107,1;RS;F;57
9;1035,7;RJ;M;29
6;1139,27;BA;M;36
6;2071,4;PR;M;53
12;2589,25;MA;M;67
16;2692,82;CE;F;35
16;6007,06;AP;M;58
17;5178,5;PR;M;31
9;1035,7;SC;M;32
8;2071,4;BA;M;56
5;165,712;MG;F;45
8;1087,485;RS;F;53
12;3832,09;PA;M;32
12;1553,55;PB;M;35
6;1035,7;RS;M;42
12;1760,69;MG;M;19
12;4660,65;RS;M;35
16;1035,7;RR;M;29
1;816,1316;MG;F;39
5;445,351;RN;F;43
16;9321,3;SC;M;63
16;4142,8;MT;F;35
5;816,1316;SP;F;64
5;745,704;MS;F;41
14;3107,1;RS;F;49
12;2278,54;PR;F;52
1;207,14;MA;M;41
9;1864,26;RS;M;30
9;818,203;RS;F;60
12;1242,84;SP;M;50
10;1139,27;RS;M;31
6;207,14;RN;F;58
13;2174,97;PR;M;43
7;1035,7;SC;M;29
9;1657,12;SP;M;44
12;2278,54;SP;M;30
15;1346,41;RJ;F;40
14;1449,98;PE;M;38
6;1242,84;DF;M;54
16;1864,26;TO;M;50
7;2382,11;CE;M;64
12;1553,55;RS;F;49
11;2071,4;MG;M;21
16;2071,4;RS;M;40
12;816,1316;PE;F;48
12;932,13;SP;F;30
5;2071,4;RO;M;50
16;4142,8;MG;M;32
1;289,996;MA;F;45
12;1760,69;SP;M;42
16;1449,98;PI;F;41
13;2071,4;PR;M;51
10;258,925;GO;F;47
12;932,13;BA;M;46
9;880,345;GO;F;55
16;1139,27;AP;M;28
9;2071,4;AP;M;38
14;2174,97;PE;M;45
12;5178,5;ES;M;43
13;1242,84;PE;M;51
12;1553,55;AC;F;46
12;1553,55;CE;M;39
6;890,702;BA;F;52
4;517,85;PA;M;44
12;1632,2632;MG;F;49
2;362,495;AP;M;48
13;2589,25;RJ;F;43
6;816,1316;BA;M;37
9;1657,12;RS;M;59
5;1636,406;SC;M;55
16;7249,9;DF;M;65
7;176,069;MA;M;27
16;1657,12;RS;F;61
2;816,1316;BA;M;48
4;828,56;RJ;F;65
13;1553,55;GO;M;66
8;1035,7;TO;M;37
13;2796,39;PR;M;54
13;1242,84;GO;M;31
16;1553,55;CE;F;30
12;1139,27;SP;F;43
5;569,635;PI;M;45
5;1242,84;PE;M;59
16;5178,5;PR;M;49
5;310,71;AL;M;34
12;1449,98;SP;M;45
10;828,56;MG;M;31
6;1035,7;PR;M;45
12;932,13;PA;M;38
3;1864,26;RS;M;42
9;828,56;GO;F;55
12;1242,84;RJ;F;56
5;2098,3282;PR;M;51
12;2071,4;GO;M;38
12;3624,95;ES;M;61
12;1139,27;RO;F;38
1;724,99;BA;M;56
3;816,1316;AL;M;37
9;1174,4838;MG;M;52
16;15535,5;MS;M;60
3;1242,84;SP;M;32
2;849,274;PR;M;55
16;2071,4;SC;F;40
12;207,14;PA;M;23
5;1242,84;SP;M;49
12;816,1316;BA;M;56
12;828,56;PR;M;35
12;816,1316;SE;M;32
4;1242,84;PR;M;51
5;724,99;PA;F;55
2;816,1316;PA;M;34
8;310,71;PE;M;45
16;5178,5;PR;M;58
12;932,13;MG;F;52
8;811,9888;TO;M;60
3;1242,84;BA;M;46
16;4401,725;PB;F;52
9;1035,7;GO;M;22
1;880,345;MS;F;36
12;2589,25;SP;M;34
13;2589,25;RO;M;50
12;816,1316;BA;M;33
12;816,1316;MG;M;42
1;816,1316;PE;M;52
12;3728,52;MG;M;44
3;3107,1;PA;M;65
6;362,495;RJ;M;80
11;414,28;MA;M;28
16;4142,8;RO;F;43
6;1035,7;PA;M;27
14;1242,84;SP;F;49
12;124,284;MA;F;31
12;963,201;AL;M;55
1;816,1316;DF;M;41
13;1864,26;SP;M;28
3;88,0345;MA;M;55
16;2589,25;MS;M;38
12;4142,8;SP;M;43
12;1224,1974;SP;F;28
15;3107,1;SP;F;55
16;44535,1;RJ;M;44
12;828,56;BA;M;34
3;816,1316;MG;M;41
8;2071,4;SP;F;37
12;2382,11;RS;M;32
12;932,13;RS;F;49
15;1046,057;MS;F;45
7;72,499;CE;F;57
9;1553,55;PR;M;40
14;258,925;PB;M;47
6;621,42;BA;M;63
2;932,13;MA;M;34
12;517,85;PI;F;36
15;3107,1;RO;M;46
12;3624,95;MG;M;46
