Data_venda;codigo do produto;id interno;Produto;Departamento;unidades;valor unitario
01/08/2020;1010;5555;Bota cano alto marrom;Feminino;1;107,8
01/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;119,3
01/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;98,6
04/08/2020;1010;5555;Bota cano alto marrom;Feminino;1;107,8
04/08/2021;1010;5556;Bota cano alto marrom;Feminino;3;119,3
07/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;98,6
07/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;107,8
07/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;119,3
07/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;98,6
07/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;107,8
07/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;119,3
07/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;98,6
08/08/2020;1010;5555;Bota cano alto marrom;Feminino;1;107,8
08/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;119,3
08/08/2021;1010;5556;Bota cano alto marrom;Feminino;4;98,6
08/08/2021;1010;5556;Bota cano alto marrom;Feminino;3;107,8
08/08/2021;1010;5556;Bota cano alto marrom;Feminino;4;119,3
09/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;98,6
09/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;107,8
10/08/2021;1010;5556;Bota cano alto marrom;Feminino;3;119,3
14/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;98,6
18/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;107,8
18/08/2021;1010;5556;Bota cano alto marrom;Feminino;3;119,3
20/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;98,6
20/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;107,8
20/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;119,3
21/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;98,6
23/08/2021;1010;5556;Bota cano alto marrom;Feminino;2;107,8
24/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;119,3
24/08/2021;1010;5556;Bota cano alto marrom;Feminino;1;98,6
03/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;107,8
03/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;119,3
03/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;98,6
04/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;107,8
07/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;119,3
07/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;98,6
07/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;107,8
07/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;119,3
07/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;98,6
07/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;107,8
07/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;119,3
08/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;98,6
08/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;107,8
08/09/2021;1010;5556;Bota cano alto marrom;Feminino;4;119,3
08/09/2021;1010;5556;Bota cano alto marrom;Feminino;3;98,6
08/09/2021;1010;5556;Bota cano alto marrom;Feminino;4;107,8
09/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;119,3
09/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;98,6
10/09/2021;1010;5556;Bota cano alto marrom;Feminino;3;107,8
14/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;119,3
18/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;98,6
18/09/2021;1010;5556;Bota cano alto marrom;Feminino;3;107,8
20/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;119,3
20/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;98,6
20/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;107,8
21/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;119,3
23/09/2021;1010;5556;Bota cano alto marrom;Feminino;2;98,6
24/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;107,8
24/09/2021;1010;5556;Bota cano alto marrom;Feminino;1;119,3
01/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
01/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;113,19
01/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
05/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;103,53
05/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
07/08/2021;1011;5559,5;Bota cano alto preta;Feminino;4;125,265
07/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
07/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;113,19
07/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
07/08/2021;1011;5559,5;Bota cano alto preta;Feminino;4;103,53
07/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;113,19
07/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
08/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
08/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
08/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;125,265
08/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
08/08/2021;1011;5559,5;Bota cano alto preta;Feminino;3;113,19
08/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;125,265
08/08/2021;1011;5559,5;Bota cano alto preta;Feminino;3;103,53
09/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
09/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;125,265
09/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;103,53
10/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
10/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
11/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
13/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
14/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
14/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
15/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
16/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;125,265
18/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;103,53
18/08/2021;1011;5559,5;Bota cano alto preta;Feminino;4;113,19
20/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;125,265
20/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
20/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;113,19
20/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
21/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;103,53
23/08/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
24/08/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
24/08/2021;1011;5559,5;Bota cano alto preta;Feminino;4;103,53
03/09/2021;1011;5559,5;Bota cano alto preta;Feminino;1;113,19
03/09/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
03/09/2021;1011;5559,5;Bota cano alto preta;Feminino;4;103,53
04/09/2021;1011;5559,5;Bota cano alto preta;Feminino;1;113,19
07/09/2021;1011;5559,5;Bota cano alto preta;Feminino;4;125,265
07/09/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
07/09/2021;1011;5559,5;Bota cano alto preta;Feminino;1;113,19
07/09/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
07/09/2021;1011;5559,5;Bota cano alto preta;Feminino;4;103,53
07/09/2021;1011;5559,5;Bota cano alto preta;Feminino;1;113,19
07/09/2021;1011;5559,5;Bota cano alto preta;Feminino;1;125,265
08/09/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
08/09/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
08/09/2021;1011;5559,5;Bota cano alto preta;Feminino;2;125,265
08/09/2021;1011;5559,5;Bota cano alto preta;Feminino;2;103,53
08/09/2021;1011;5559,5;Bota cano alto preta;Feminino;3;113,19
08/09/2021;1011;5559,5;Bota cano alto preta;Feminino;2;125,265
08/09/2021;1011;5559,5;Bota cano alto preta;Feminino;3;103,53
09/09/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
09/09/2021;1011;5559,5;Bota cano alto preta;Feminino;2;125,265
09/09/2021;1011;5559,5;Bota cano alto preta;Feminino;1;103,53
10/09/2021;1011;5559,5;Bota cano alto preta;Feminino;2;113,19
